Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF,
"C10, C17, C3",0603,3,0.1uF,
"C11, C18, C4",0603,3,470pF,
"C12, C19, C5",0603,3,220nF,
"C13, C20, C6",0603,3,100nF,
"C14, C16, C2, C21, C7, C9",0603,6,10uF,
"D1, D10, D2, D6",0603,4,LED,C965863
"D11, D3, D7",0603,3,LED,C965860
"D12, D13, D4, D5, D8, D9",D_SOD-123,6,D_Schottky,C8598
D14,D_SMA,1,D_Schottky,C22452
"F1, F2, F3",1812,3,Polyfuse,C210834
F4,0603,1,3A Fuse,C96544
IC1,ESSOP-10_3.9x4.9mm_P1.00mm_EP2.3x3.2mm_ThermalVias,1,CH224K,
"IC2, IC3, IC4",TSSOP-16_4.4x5mm_P0.65mm,3,CN3702,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C2765186
"J6, J7, J8",PinHeader_1x01_P2.54mm_Vertical,3,Conn_01x01_Pin,
"L1, L2, L3",L_Sunlord_SWPA6045S,3,47uH,C497841
"Q1, Q2, Q3, Q4",SOT-23,4,PMOS,C15127
"R1, R13, R14, R19, R20, R7, R8",0603,7,1K,
"R10, R16, R22",0603,3,120,
"R11, R17, R23",0603,3,0.3R,C2934256
"R12, R18, R24",0603,3,0.22R,C3013347
"R15, R21, R9",0603,3,0R,
"R2, R5",0603,2,10K,
R3,0603,1,56K,
R4,0603,1,4.7K,
R6,0603,1,100,
"SW1, SW2, SW3",SW_SPDT_PCM12,3,SW_SPDT,C431541
