Designator,Mid X,Mid Y,Rotation,Layer
C1,158.373036,6.443016,90.0,bottom
C10,74.625,8.687816,90.0,bottom
C11,69.125,1.187816,0.0,bottom
C12,66.125,2.012816,90.0,bottom
C13,66.125,9.787816,90.0,bottom
C14,77.225,19.987816,270.0,bottom
C15,83.7935,23.590316,180.0,bottom
C16,11.625,12.187816,90.0,bottom
C17,11.625,8.687816,90.0,bottom
C18,6.125,1.187816,0.0,bottom
C19,3.125,2.012816,90.0,bottom
C2,137.625,12.187816,90.0,bottom
C20,3.125,9.787816,90.0,bottom
C21,14.225,19.987816,270.0,bottom
C22,20.7935,23.590316,180.0,bottom
C3,137.625,8.687816,90.0,bottom
C4,132.125,1.187816,0.0,bottom
C5,129.125,2.012816,90.0,bottom
C6,129.125,9.787816,90.0,bottom
C7,140.225,19.987816,270.0,bottom
C8,146.7935,23.590316,180.0,bottom
C9,74.625,12.187816,90.0,bottom
D1,173.5,13.5,270.0,bottom
D10,10.125,1.187816,0.0,bottom
D11,14.125,1.187816,0.0,bottom
D12,16.125,13.687816,90.0,bottom
D13,20.125,13.687816,90.0,bottom
D14,149.3,9.9,90.0,bottom
D2,136.125,1.187816,0.0,bottom
D3,140.125,1.187816,0.0,bottom
D4,142.125,13.687816,90.0,bottom
D5,146.125,13.687816,90.0,bottom
D6,73.125,1.187816,0.0,bottom
D7,77.125,1.187816,0.0,bottom
D8,79.125,13.687816,90.0,bottom
D9,83.125,13.687816,90.0,bottom
F1,145.425,19.987816,0.0,bottom
F2,82.425,19.987816,0.0,bottom
F3,19.425,19.987816,0.0,bottom
F4,152.9,10.3,180.0,bottom
IC1,162.20875,6.443016,90.0,bottom
IC2,133.625,10.687816,270.0,bottom
IC3,70.625,10.687816,270.0,bottom
IC4,7.625,10.687816,270.0,bottom
J1,171.95,6.043016,90.0,bottom
J2,161.92875,22.25,180.0,bottom
J3,144.6935,27.290316,90.0,top
J4,81.6935,27.290316,90.0,top
J5,18.6935,27.290316,90.0,top
J6,124.5,3.5,0.0,top
J7,61.5,3.3,0.0,top
J8,2.3,15.5,0.0,top
L1,134.625,18.187816,180.0,bottom
L2,71.625,18.187816,180.0,bottom
L3,8.625,18.187816,180.0,bottom
Q1,156.873036,11.943016,0.0,bottom
Q2,142.125,8.187816,270.0,bottom
Q3,79.125,8.187816,270.0,bottom
Q4,16.125,8.187816,270.0,bottom
R1,161.20875,11.443016,180.0,bottom
R10,129.125,6.012816,90.0,bottom
R11,132.125,26.687816,270.0,bottom
R12,137.125,26.687816,270.0,bottom
R13,73.125,4.187816,0.0,bottom
R14,77.125,4.187816,0.0,bottom
R15,69.125,4.187816,0.0,bottom
R16,66.125,6.012816,90.0,bottom
R17,69.125,26.687816,270.0,bottom
R18,74.125,26.687816,270.0,bottom
R19,10.125,4.187816,0.0,bottom
R2,164.373036,1.443016,0.0,bottom
R20,14.125,4.187816,0.0,bottom
R21,6.125,4.187816,0.0,bottom
R22,3.125,6.012816,90.0,bottom
R23,6.125,26.687816,270.0,bottom
R24,11.125,26.687816,270.0,bottom
R3,160.873036,1.443016,0.0,bottom
R4,170.75,12.75,180.0,bottom
R5,156.873036,14.943016,180.0,bottom
R6,154.373036,3.943016,180.0,bottom
R7,136.125,4.187816,0.0,bottom
R8,140.125,4.187816,0.0,bottom
R9,132.125,4.187816,0.0,bottom
SW1,146.625,2.187816,180.0,bottom
SW2,83.625,2.187816,180.0,bottom
SW3,20.625,2.187816,180.0,bottom
